themename,themepercent,themenamecodename,code,snname,sncode
"Public expenditure, financial management and procurement",25,"Public expenditure, financial management and procurement",27,Central government administration,BC
"Public expenditure, financial management and procurement",25,"Public expenditure, financial management and procurement",27,Other social services,JB
"Public expenditure, financial management and procurement",25,"Public expenditure, financial management and procurement",27,Compulsory health finance,BK
"Public expenditure, financial management and procurement",25,"Public expenditure, financial management and procurement",27,Health,JA
"Public expenditure, financial management and procurement",25,Macroeconomic management,23,General finance sector,FZ
"Public expenditure, financial management and procurement",25,Macroeconomic management,23,Central government administration,BC
"Public expenditure, financial management and procurement",25,Macroeconomic management,23,Other social services,JB
"Public expenditure, financial management and procurement",25,Macroeconomic management,23,Compulsory health finance,BK
"Public expenditure, financial management and procurement",25,Macroeconomic management,23,Health,JA
"Public expenditure, financial management and procurement",25,Vulnerability assessment and monitoring,55,General finance sector,FZ
"Public expenditure, financial management and procurement",25,Vulnerability assessment and monitoring,55,Central government administration,BC
"Public expenditure, financial management and procurement",25,Vulnerability assessment and monitoring,55,Other social services,JB
"Public expenditure, financial management and procurement",25,Vulnerability assessment and monitoring,55,Compulsory health finance,BK
"Public expenditure, financial management and procurement",25,Vulnerability assessment and monitoring,55,Health,JA
Natural disaster management,100,Natural disaster management,52,Housing construction,YC
Natural disaster management,100,Natural disaster management,52,Other social services,JB
Natural disaster management,100,Natural disaster management,52,Health,JA
Natural disaster management,100,Natural disaster management,52,Sub-national government administration,BH
Social safety nets,50,Social safety nets,54,Adult literacy/non-formal education,EL
Social safety nets,50,Social safety nets,54,Pre-primary education,EC
Social safety nets,50,Social safety nets,54,Other social services,JB
Climate change,100,Climate change,81,Energy efficiency in Heat and Power,LA
Climate change,100,Climate change,81,General public administration sector,BZ
Climate change,100,Climate change,81,"General water, sanitation and flood protection sector",WZ
Climate change,100,Climate change,81,Irrigation and drainage,AI
Climate change,100,Climate change,81,"General agriculture, fishing and forestry sector",AZ
Climate change,100,Climate change,81,General energy sector,LZ
Climate change,100,Climate change,81,General industry and trade sector,YZ
Other environment and natural resources management,47,Other environment and natural resources management,86,General public administration sector,BZ
Other environment and natural resources management,47,Other environment and natural resources management,86,"General agriculture, fishing and forestry sector",AZ
